Zeit;Kanal A
(ms);(V)

-5,00010125;0,55902430
-4,99999725;0,55902430
-4,99989325;0,51242620
-4,99978925;0,51242620
-4,99968525;0,55902430
-4,99958125;0,55902430
-4,99947725;0,55902430
-4,99937325;0,55902430
-4,99926925;0,55902430
-4,99916525;0,51242620
-4,99906125;0,55902430
-4,99895725;0,51242620
-4,99885325;0,55902430
-4,99874925;0,55902430
-4,99864525;0,55902430
-4,99854125;0,55902430
-4,99843725;0,51242620
-4,99833325;0,51242620
-4,99822925;0,55902430
-4,99812525;0,55902430
-4,99802125;0,55902430
-4,99791725;0,51242620
-4,99781325;0,51242620
-4,99770925;0,55902430
-4,99760525;0,51242620
-4,99750125;0,55902430
-4,99739725;0,55902430
-4,99729325;0,55902430
-4,99718925;0,55902430
-4,99708525;0,55902430
-4,99698125;0,55902430
-4,99687725;0,55902430
-4,99677325;0,55902430
-4,99666925;0,55902430
-4,99656525;0,55902430
-4,99646125;0,55902430
-4,99635725;0,51242620
-4,99625325;0,55902430
-4,99614925;0,55902430
-4,99604525;0,55902430
-4,99594125;0,55902430
-4,99583725;0,55902430
-4,99573325;0,55902430
-4,99562925;0,55902430
-4,99552525;0,51242620
-4,99542125;0,60562250
-4,99531725;0,51242620
-4,99521325;0,55902430
-4,99510925;0,55902430
-4,99500525;0,51242620
-4,99490125;0,55902430
-4,99479725;0,55902430
-4,99469325;0,51242620
-4,99458925;0,55902430
-4,99448525;0,55902430
-4,99438125;0,55902430
-4,99427725;0,55902430
-4,99417325;0,55902430
-4,99406925;0,55902430
-4,99396525;0,55902430
-4,99386125;0,51242620
-4,99375725;0,51242620
-4,99365325;0,55902430
-4,99354925;0,55902430
-4,99344525;0,55902430
-4,99334125;0,55902430
-4,99323725;0,55902430
-4,99313325;0,55902430
-4,99302925;0,55902430
-4,99292525;0,51242620
-4,99282125;0,55902430
-4,99271725;0,51242620
-4,99261325;0,55902430
-4,99250925;0,55902430
-4,99240525;0,51242620
-4,99230125;0,55902430
-4,99219725;0,55902430
-4,99209325;0,55902430
-4,99198925;0,55902430
-4,99188525;0,55902430
-4,99178125;0,55902430
-4,99167725;0,55902430
-4,99157325;0,55902430
-4,99146925;0,51242620
-4,99136525;0,55902430
-4,99126125;0,51242620
-4,99115725;0,55902430
-4,99105325;0,55902430
-4,99094925;0,55902430
-4,99084525;0,55902430
-4,99074125;0,55902430
-4,99063725;0,55902430
-4,99053325;0,55902430
-4,99042925;0,51242620
-4,99032525;0,55902430
-4,99022125;0,51242620
-4,99011725;0,55902430
-4,99001325;0,51242620
-4,98990925;0,55902430
-4,98980525;0,55902430
-4,98970125;0,55902430
-4,98959725;0,55902430
-4,98949325;0,55902430
-4,98938925;0,55902430
-4,98928525;0,55902430
-4,98918125;0,55902430
-4,98907725;0,55902430
-4,98897325;0,55902430
-4,98886925;0,55902430
-4,98876525;0,55902430
-4,98866125;0,55902430
-4,98855725;0,60562250
-4,98845325;0,51242620
-4,98834925;0,55902430
-4,98824525;0,55902430
-4,98814125;0,55902430
-4,98803725;0,51242620
-4,98793325;0,55902430
