Zeit;Kanal A
(ms);(mV)

-25,00749905;-1,11958700
-25,00249905;0,93319390
-24,99749905;0,55979330
-24,99249905;0,74618600
-24,98749905;1,30659400
-24,98249905;0,55979330
-24,97749905;0,55979330
-24,97249905;0,37278540
-24,96749905;0,93319390
-24,96249905;0,93319390
-24,95749905;0,93319390
-24,95249905;1,49298700
-24,94749905;1,67999500
-24,94249905;1,11958700
-24,93749905;1,11958700
-24,93249905;0,55979330
-24,92749905;2,42679600
-24,92249905;2,05339600
-24,91749905;1,11958700
-24,91249905;1,49298700
-24,90749905;1,11958700
-24,90249905;1,30659400
-24,89749905;1,49298700
-24,89249905;2,05339600
-24,88749905;1,67999500
-24,88249905;2,42679600
-24,87749905;1,49298700
-24,87249906;1,49298700
-24,86749906;2,23978800
-24,86249906;1,86638800
-24,85749906;2,05339600
-24,85249906;1,86638800
-24,84749906;2,42679600
-24,84249906;1,67999500
-24,83749906;2,05339600
-24,83249906;2,98658900
-24,82749906;2,05339600
-24,82249906;2,05339600
-24,81749906;2,42679600
-24,81249906;2,42679600
-24,80749906;0,93319390
-24,80249906;2,80019700
-24,79749906;2,23978800
-24,79249906;1,11958700
-24,78749906;2,23978800
-24,78249906;2,61318900
-24,77749906;2,42679600
-24,77249906;2,80019700
-24,76749906;3,35999000
-24,76249906;2,98658900
-24,75749906;2,61318900
-24,75249906;3,17359700
-24,74749906;2,98658900
-24,74249906;3,35999000
-24,73749906;3,92039800
-24,73249906;4,29379900
-24,72749906;3,73339100
-24,72249906;3,92039800
-24,71749906;4,48019200
-24,71249906;3,35999000
-24,70749906;3,35999000
-24,70249906;3,35999000
-24,69749906;3,17359700
-24,69249906;3,35999000
-24,68749906;2,80019700
-24,68249906;3,35999000
-24,67749906;2,42679600
-24,67249906;2,05339600
-24,66749906;1,30659400
-24,66249906;1,49298700
-24,65749906;1,67999500
-24,65249906;1,11958700
-24,64749906;0,93319390
-24,64249906;0,93319390
-24,63749906;0,18639270
-24,63249906;0,00000000
-24,62749906;0,18639270
