Zeit;Kanal A
(s);(V)

-5,00009966;2,84879400
-4,99999966;2,84879400
-4,99989966;2,84879400
-4,99979966;2,84879400
-4,99969966;2,89554600
-4,99959966;2,84879400
-4,99949966;2,84879400
-4,99939966;2,84879400
-4,99929966;2,84879400
-4,99919966;2,84879400
-4,99909966;2,89554600
-4,99899966;2,84879400
-4,99889966;2,84879400
-4,99879966;2,84879400
-4,99869966;2,84879400
-4,99859966;2,89554600
-4,99849966;2,84879400
-4,99839966;2,84879400
-4,99829966;2,84879400
-4,99819966;2,89554600
-4,99809966;2,89554600
-4,99799966;2,84879400
-4,99789966;2,84879400
-4,99779966;2,89554600
-4,99769966;2,89554600
-4,99759966;2,89554600
-4,99749966;2,84879400
-4,99739966;2,89554600
-4,99729966;2,89554600
-4,99719966;2,84879400
-4,99709966;2,89554600
-4,99699966;2,89554600
-4,99689966;2,89554600
-4,99679966;2,89554600
-4,99669966;2,89554600
-4,99659966;2,84879400
-4,99649966;2,89554600
-4,99639966;2,84879400
-4,99629966;2,84879400
-4,99619966;2,89554600
-4,99609966;2,89554600
-4,99599966;2,89554600
-4,99589966;2,89554600
-4,99579966;2,89554600
-4,99569966;2,89554600
-4,99559966;2,89554600
-4,99549966;2,84879400
-4,99539966;2,89554600
-4,99529966;2,84879400
-4,99519966;2,89554600
-4,99509966;2,89554600
-4,99499966;2,89554600
-4,99489966;2,89554600
-4,99479966;2,89554600
-4,99469966;2,89554600
-4,99459966;2,89554600
-4,99449966;2,89554600
-4,99439966;2,89554600
-4,99429966;2,89554600
-4,99419966;2,89554600
-4,99409966;2,84879400
-4,99399966;2,89554600
-4,99389966;2,89554600
-4,99379966;2,89554600
-4,99369966;2,89554600
-4,99359966;2,89554600
-4,99349966;2,89554600
-4,99339966;2,89554600
-4,99329966;2,89554600
-4,99319966;2,89554600
-4,99309966;2,89554600
-4,99299966;2,89554600
-4,99289966;2,89554600
-4,99279966;2,89554600
-4,99269966;2,89554600
-4,99259966;2,89554600
-4,99249966;2,89554600
-4,99239966;2,89554600
-4,99229966;2,89554600
-4,99219966;2,89554600
-4,99209966;2,89554600
-4,99199966;2,89554600
-4,99189966;2,89554600
-4,99179966;2,89554600
-4,99169966;2,89554600
-4,99159966;2,89554600
-4,99149966;2,89554600
-4,99139966;2,89554600
-4,99129966;2,94214400
-4,99119966;2,89554600
-4,99109966;2,89554600
-4,99099966;2,89554600
-4,99089966;2,94214400
-4,99079966;2,94214400
-4,99069966;2,94214400
-4,99059966;2,89554600
-4,99049966;2,84879400
-4,99039966;2,89554600
-4,99029966;2,89554600
-4,99019966;2,89554600
-4,99009966;2,94214400
-4,98999966;2,89554600
-4,98989966;2,94214400
-4,98979966;2,89554600
-4,98969966;2,89554600
-4,98959966;2,94214400
-4,98949966;2,89554600
-4,98939966;2,89554600
-4,98929966;2,89554600
-4,98919966;2,89554600
-4,98909966;2,89554600
-4,98899966;2,89554600
-4,98889966;2,89554600
-4,98879966;2,89554600
-4,98869966;2,89554600
-4,98859966;2,89554600
-4,98849966;2,89554600
-4,98839966;2,94214400
-4,98829966;2,89554600
-4,98819966;2,89554600
-4,98809966;2,89554600
-4,98799966;2,89554600
-4,98789966;2,94214400
-4,98779966;2,89554600
-4,98769966;2,89554600
-4,98759966;2,89554600
-4,98749966;2,89554600
-4,98739966;2,89554600
-4,98729966;2,94214400
-4,98719966;2,89554600
-4,98709966;2,89554600
-4,98699966;2,89554600
-4,98689966;2,94214400
-4,98679966;2,89554600
-4,98669966;2,89554600
-4,98659966;2,94214400
-4,98649966;2,89554600
-4,98639966;2,89554600
-4,98629966;2,89554600
-4,98619966;2,89554600
-4,98609966;2,94214400
-4,98599966;2,89554600
-4,98589966;2,89554600
-4,98579966;2,89554600
-4,98569966;2,94214400
-4,98559966;2,89554600
-4,98549966;2,94214400
-4,98539966;2,89554600
-4,98529966;2,89554600
-4,98519966;2,89554600
-4,98509966;2,94214400
-4,98499966;2,89554600
-4,98489966;2,89554600
-4,98479966;2,89554600
-4,98469966;2,89554600
-4,98459966;2,89554600
-4,98449966;2,89554600
-4,98439966;2,89554600
-4,98429966;2,89554600
-4,98419966;2,89554600
-4,98409966;2,89554600
-4,98399966;2,94214400
-4,98389966;2,89554600
